Music,Lyrics,Time,Views
Guarda-Chuva,"['Quando chove demais E teu guarda-chuva se faleceu Te deixou de repente, nem deu tempo de dar um tchau Não há clima sem você Cada pingo é um soco na alma porque só te fechava Se no fundo só queria me abrigar Nesse clima Deixa a chuva E o vento frio bater, te gripar Faz de conta, ah Que as nuvens vão chorar por nós algum dia É nublado demais Acordar e sentir-se fora da matriz Encarar o sol de olho aberto simplesmente não dá Não há clima sem você Cada pingo é um soco na alma porque só te fechava Se no fundo só queria me abrigar Nesse clima Deixa a chuva E o vento frio fazerem um par Faz de conta, ah Que as nuvens vão chorar por nós algum dia O clima tá bem aí? O tempo vai levar você Pra passear no vazio E a gente vai resfriando e esperando o amanhecer']",166,681149
O Guerreiro e a Selva,"['Os lobos te encontraram E agora vai ter que encarar Prepare, afia tua lança Acende o fogo pra noite não te sufocar Teus dentes tem que crescer, o espírito acalma O mundo inteiro caça você Como tu vai contra atacar? Guerreiro aqui é matar ou morrer Dormir com os dois olhos abertos Selva! O vento leva o cheiro do teu sangue pros abutres no ar Aperta a corda do arco e flecha E cruze os dedos pra você não ser o jantar Teus dentes tem que crescer, os nervos acalma O mundo inteiro caça você Como tu vai contra atacar? Teus dentes tem que crescer, o espírito acalma O mundo inteiro caça você Como tu vai contra atacar? Guerreiro aqui é matar ou morrer Dormir com os dois olhos abertos Selva! Ovelha começa a caçar A necessidade faz tu improvisar Os tempos são sombrios Peleja no frio Levanta! Tentativa e erro Tudo tem um jeito Um caminho uma jornada Vou fazer você entrar no eixo Deixa o horizonte iluminar, aah Teus dentes tem que crescer, o espírito acalma O mundo inteiro caça você Como tu vai contra atacar? Guerreiro aqui é matar ou morrer Guerreiro aqui é matar ou morrer Dormir com os dois olhos abertos Selva!']",201,542702
Maremotos,['As vezes é fácil sorrir As vezes só fecha a cara As vezes é só dormir As vezes não melhora As vezes é fácil ouvir As vezes é gritaria As vezes é um poço sem fim As vezes é uma escada Calma vai passar Espera a tempestade clarear Os maremotos de química surgem Bagunçam tua cabeça a todo vapor Calma vai passar Espera a tempestade clarear Os travesseiros derretem a noite Todos que cobram você não sabem a dor não entendem a dor não sentem dor As vezes esconde de si As vezes dá a cara a tapa As vezes não dá pra fugir As vezes tu só viaja O eu de dentro sempre fica enterrado Pra conhecer você precisa cavar Nossas sementes sempre ficam isoladas Pra conhecer você precisa plantar Nossos espinhos sempre ficam apontados (afiados) É proteção pra não se decepcionar Os nossos medos são os nossos papagaios Pesam os ombros e repetem mantras infernais'],188,318115
Menina Largata,"['Essa menina sempre foi largata Brigou com os pais, agora quer fugir da casca Você tá triste, teias na tua alma Mas o casulo é pra fortalecer tuas asas Vai ser bom pra você Quando tu sair, o céu será teu território Voe pra você, seja quem quiser Faz do teu jeito Quando tu sair, ame tua metamorfose Cuide de você, seja como for Faz do teu jeito Sem tropeçar Floresta é triste, cheia de maldade Tua armadura só cresce com a idade Vai ser bom pra você Quando tu sair, o céu será teu território Voe pra você, seja quem quiser Faz do teu jeito Quando tu sair, ame tua metamorfose Cuide de você, seja como for Faz do teu jeito Segue as antenas, aah-aah Quando tu se assumir, quando tu se aceitar Ah, deixa o para-brisa vir Ele que vai se quebrar Deixa o tempo construir Quando tu se assumir, quando tu se aceitar Ah, deixa o para-brisa vir Ele que vai se quebrar Deixa o tempo construir Teu sonho de voar Quando tu sair, o céu será teu território Voe pra você, seja quem quiser Faz do teu jeito Quando tu sair, ame tua metamorfose Cuide de você, seja como for Faz do teu jeito Sem tropeçar']",227,444143
Robozin,"['Aguenta o peso, segura a onda Sem chorar, sem chorar (Pequeno robozin) Faz assim, faz assado Imaginação, vai pelo ralo Internaliza sempre Te ensinaram tudo errado Deixa assim, faz igual Ao coleguinha do lado Que vai ser sucesso O mundo quer você quadrado O tempo vai te rolar do alto do morro e sim Tuas quinas vão machucar Se prepara robozin O tempo vai te rolar do alto do morro e sim Tuas quinas vão machucar Abra esse teu mundin Se prepara robozin Faz assim, faz assado Imaginação, vai pelo ralo Internaliza sempre Me disseram que você tá sempre errado Deixa assim, faz igual Ao coleguinha do lado Que vai ser sucesso O mundo quer você quadrado O tempo vai te rolar do alto do morro e sim Tuas quinas vão machucar Se prepara robozin O tempo vai te rolar do alto do morro e sim Tuas quinas vão machucar Abra esse teu mundin O tempo vai te rolar do alto do morro e sim Tua lata vai amassar Se prepara robozin O tempo vai te rolar do alto do morro e sim Tua lata vai amassar Abra esse teu mundin Se prepara robozin']",189,1030714
2 e 1,['Antes de sermos dois A gente tem que saber ser um Degustar o pôr do sol sozinho Antes de por os pés A gente tem que observar Se vai dar pé ou só te afogar Deixar puxar a rede Filtrar o que interessa O mar não tá pra pesca Se o ódio nos divide E o amor nos completa Vamos juntar as peças? Depois de sermos um A gente tem que saber ser dois Se botar à prova A confiança não pode falhar Tem que se jogar A jangada faz cruzeiro em alto mar Deixar puxar a rede Filtrar o que interessa O mar não tá pra pesca Se o ódio nos divide E o amor nos completa Vamos juntas as peças? Vamos puxar a rede Sem cabo de guerra Vamos quebrar a cabeça Vamos puxar a rede Filtrar o que interessa O mar não tá pra pesca Se o ódio nos divide E o amor nos completa Vamos juntar as peças?'],201,273518
Meu Colorista,"['Colore o frame, me derrama cor Sou essa imagem fria, triste e sem sabor A-ah, me trata, desfoca em sombras Me deixa ver como é sentir Todo esse amor, que nos envolve (Sem o diretor pedir pro editor tirar do filme) Teu personagem fugiu Com a tua fala, deu dó Você perdeu o controle E o orçamento storyboard Teu roteiro tá chato Óbvio, ninguém vai ver Demite toda essa produção E atua você Me dá sentido, desenrola a trama O script é tenso e cheio de reviravolta Me trata, desfoca em sombras Me deixa ver como é sentir Todo esse amor, que nos envolve (Sem o diretor pedir pro editor tirar do filme) Teu personagem fugiu Com a tua fala, deu dó Você perdeu o controle E o orçamento storyboard Teu roteiro tá chato Óbvio, ninguém vai ver Demite toda essa produção E comece a viver A rotina é um labirinto que não te deixa escapar Tu entra petrificado e não consegue andar Não tem chuva, não tem água Nada que um dia possa dissolver É um Rivotril ali, é um Xanax pra cá É tanto remédio que fica difícil até decorar Tão forte e feliz, não para de dopar As vezes só a gente vê Se me desse poderes eu poderia (ah-ah-ah, ah-ah-ah) Não depender de ninguém Ser meu colorista (ah-ah-ah-ah) Sem efeitos especiais Teu personagem fugiu Com a tua fala, deu dó Você perdeu o controle E o orçamento storyboard Teu roteiro tá chato Óbvio, ninguém vai ver Demite toda essa produção E comece a viver Ah, se me dessem poderes eu poderia (comece a viver) Não depender de ninguém Ser meu colorista (ah-ah-ah, ah-ah-ah) Sem efeitos especiais']",233,1051068
Parafuso a Menos,"['Olha só, ó, ó Te martelam um monte Os manuais não te servem Se é diferente ninguém aceita que Teu parafuso a menos É o tempero que te destaca de um monte de prego Deixa enferrujar Olha só A caixa ficou pequena As ferramentas ficam se espremendo Competindo quem espana mais Vamos se amar O que não é quebrado não tem que se consertar Teu parafuso a menos É o tempero que te destaca de um monte de prego Deixa enferrujar Deixa derreter Que é pra não espalhar Na mente de quem não quer ver Teu parafuso a menos É o tempero que te destaca de um monte de prego Deixa enferrujar']",163,499117
Cela,"['Ela se rendeu, deixou se algemar Na cela que criou, a pena é solitária Depressão bateu, chegou sem avisar Agora eu quero ver quem vai pagar fiança Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, respeita, se deixa Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, se deixa As barras e o espelho A cama e os desejos Te fazem um apelo: ""Queima os teus medos"" Vomita a chave, volta a vaidade Deixa a luz entrar nas cavidades Vomita a chave, volta a vaidade Deixa a luz chegar na sua cidade Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, respeita, se deixa Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, respeita Vomita a chave, volta a vaidade Deixa a luz entrar nas cavidades Vomita a chave, volta a vaidade Deixa a luz chegar na sua cidade Vomita a chave, volta a vaidade Deixa a luz chegar na sua cidade Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, respeita, se deixa Olha bem pra você Me diga o que você vê Pois tu és perfeita Aceita, respeita, se deixa']",208,445999
Xepa das Estrelas,"['Recusar resgate, soterrado em Marte A gente pode, às vezes escolhe, não Escutar, vai dizer Quem nunca foi você Nos mesmos erros Nos mesmos anseios Costurar Band-Aid Não salva a pele Da gravidade que a vida Te pesa Se não cuidar Desmoronar A gente é frágil Sufoca no espaço Se transforma A fuga é uma viagem Que você compra passagem Sem saber pra onde vai Se transforma Até os planetas se formam Da xepa do resto de estrelas Basta você se querer O que falta, o que cê tem? O que será que ele tem? A mente ferve, o radar da gente Flooda, refresha Vai dizer que nunca quis Fugir de si? Fugir de si? Se transforma A vida é uma viagem Que você compra passagem Sem saber pra onde vai Se transforma Até os planetas se formam Da xepa do resto de estrelas Basta você se querer Oh, oh, oh, oh Oh, oh, oh, oh, oh, oh, oh, oh']",192,715099
